model_key,stage,pearson_residual,obs_count,exp_count
ministral_8b_instruct,1,-3.1622776601683795e-05,0,1e-09
ministral_8b_instruct,2,-3.1622776601683795e-05,0,1e-09
ministral_8b_instruct,3,-1.6431676728197886,0,2.700000001
ministral_8b_instruct,4,-2.6832815731860866,0,7.200000001
ministral_8b_instruct,5,3.4661629663962397,15,6.300000001
ministral_8b_instruct,6,0.8944271900061077,3,1.8000000010000001
claude_haiku_3_5,1,-3.1622776601683795e-05,0,1e-09
claude_haiku_3_5,2,-3.1622776601683795e-05,0,1e-09
claude_haiku_3_5,3,-1.6431676728197886,0,2.700000001
claude_haiku_3_5,4,-2.6832815731860866,0,7.200000001
claude_haiku_3_5,5,1.0757057479171714,9,6.300000001
claude_haiku_3_5,6,5.366563143763427,9,1.8000000010000001
qwen3_30B_Coder_Instruct,1,-3.1622776601683795e-05,0,1e-09
qwen3_30B_Coder_Instruct,2,-3.1622776601683795e-05,0,1e-09
qwen3_30B_Coder_Instruct,3,-1.6431676728197886,0,2.700000001
qwen3_30B_Coder_Instruct,4,-2.6832815731860866,0,7.200000001
qwen3_30B_Coder_Instruct,5,2.2709343571567056,12,6.300000001
qwen3_30B_Coder_Instruct,6,3.130495166884767,6,1.8000000010000001
qwen3_32b,1,-3.1622776601683795e-05,0,1e-09
qwen3_32b,2,-3.1622776601683795e-05,0,1e-09
qwen3_32b,3,-1.6431676728197886,0,2.700000001
qwen3_32b,4,-2.6832815731860866,0,7.200000001
qwen3_32b,5,4.661391575635774,18,6.300000001
qwen3_32b,6,-1.3416407868725517,0,1.8000000010000001
llama3_70B,1,-3.1622776601683795e-05,0,1e-09
llama3_70B,2,-3.1622776601683795e-05,0,1e-09
llama3_70B,3,-1.6431676728197886,0,2.700000001
llama3_70B,4,-2.6832815731860866,0,7.200000001
llama3_70B,5,3.0677534299830618,14,6.300000001
llama3_70B,6,1.6397831822989943,4,1.8000000010000001
qwen3_80b_instruct,1,-3.1622776601683795e-05,0,1e-09
qwen3_80b_instruct,2,-3.1622776601683795e-05,0,1e-09
qwen3_80b_instruct,3,-1.6431676728197886,0,2.700000001
qwen3_80b_instruct,4,-2.6832815731860866,0,7.200000001
qwen3_80b_instruct,5,-0.11952286132236292,6,6.300000001
qwen3_80b_instruct,6,7.602631120642085,12,1.8000000010000001
llama4_scout,1,-3.1622776601683795e-05,0,1e-09
llama4_scout,2,-3.1622776601683795e-05,0,1e-09
llama4_scout,3,-1.6431676728197886,0,2.700000001
llama4_scout,4,-1.9379255807379177,2,7.200000001
llama4_scout,5,1.4741152843303493,10,6.300000001
llama4_scout,6,3.130495166884767,6,1.8000000010000001
gpt-oss-120B,1,-3.1622776601683795e-05,0,1e-09
gpt-oss-120B,2,-3.1622776601683795e-05,0,1e-09
gpt-oss-120B,3,-1.6431676728197886,0,2.700000001
gpt-oss-120B,4,-2.6832815731860866,0,7.200000001
gpt-oss-120B,5,2.669343893569884,13,6.300000001
gpt-oss-120B,6,2.385139174591881,5,1.8000000010000001
claude_sonnet_4_5,1,-3.1622776601683795e-05,0,1e-09
claude_sonnet_4_5,2,-3.1622776601683795e-05,0,1e-09
claude_sonnet_4_5,3,-1.6431676728197886,0,2.700000001
claude_sonnet_4_5,4,-2.6832815731860866,0,7.200000001
claude_sonnet_4_5,5,0.6772962115039932,8,6.300000001
claude_sonnet_4_5,6,6.111919136056312,10,1.8000000010000001
gpt-4o,1,-3.1622776601683795e-05,0,1e-09
gpt-4o,2,-3.1622776601683795e-05,0,1e-09
gpt-4o,3,-1.6431676728197886,0,2.700000001
gpt-4o,4,-1.9379255807379177,2,7.200000001
gpt-4o,5,1.4741152843303493,10,6.300000001
gpt-4o,6,3.130495166884767,6,1.8000000010000001
qwen3_235b_thinking,1,-3.1622776601683795e-05,0,1e-09
qwen3_235b_thinking,2,-3.1622776601683795e-05,0,1e-09
qwen3_235b_thinking,3,-1.6431676728197886,0,2.700000001
qwen3_235b_thinking,4,-2.6832815731860866,0,7.200000001
qwen3_235b_thinking,5,-2.5099800798014313,0,6.300000001
qwen3_235b_thinking,6,12.074767074399405,18,1.8000000010000001
deepseek_r1,1,-3.1622776601683795e-05,0,1e-09
deepseek_r1,2,-3.1622776601683795e-05,0,1e-09
deepseek_r1,3,-1.6431676728197886,0,2.700000001
deepseek_r1,4,-2.6832815731860866,0,7.200000001
deepseek_r1,5,2.2709343571567056,12,6.300000001
deepseek_r1,6,3.130495166884767,6,1.8000000010000001
deepseek_v3_1,1,-3.1622776601683795e-05,0,1e-09
deepseek_v3_1,2,-3.1622776601683795e-05,0,1e-09
deepseek_v3_1,3,-1.6431676728197886,0,2.700000001
deepseek_v3_1,4,-2.6832815731860866,0,7.200000001
deepseek_v3_1,5,1.0757057479171714,9,6.300000001
deepseek_v3_1,6,5.366563143763427,9,1.8000000010000001
